Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northeast,Luzerne,Buck Township,TRANSCONTINENTAL GAS PIPE LINE CO LLC,TRANSCONTINENTAL GAS PIPE LINE LLC STA 515,244532,TRANSCONTINENTAL GAS/BEAR CREEK STA 515,249383,Y,Renewal,Title V Operating Permit,,ISSU,2025-06-23 00:00:00,2025-12-16 00:00:00,2030-12-28 00:00:00,1532546[40-00002]_Issued_v2.pdf
Northeast,Luzerne,Hanover Township,WYOMING VALLEY SANI AUTH,WYOMING VALLEY SANI AUTH WILKES BARRE,245668,WYOMING VALLEY SANI AUTH/HANOVER STP,250969,Y,Renewal,Title V Operating Permit,,ISSU,2022-06-15 00:00:00,2023-10-16 00:00:00,2028-10-16 00:00:00,1401465[40-00067]_Issued_v1.pdf
Northeast,Luzerne,Hazle Township,AMCOR FLEXIBLES NORTH AMER INC,AMCOR FLEXIBLES NORTH AMER INC,238511,AMCOR FLEXIBLES NORTH AMER INC/HAZLETON,241329,Y,Renewal,Title V Operating Permit,,ISSU,2024-02-21 00:00:00,2025-03-12 00:00:00,2030-03-12 00:00:00,1474515[40-00007]_Issued_v1.pdf
Northeast,Luzerne,Hazle Township,HAZLETON GENERATION LLC,HAZLETON GEN FAC,487450,HAZLETON GEN LLC/HAZLE TWP,510832,Y,Renewal,Title V Operating Permit,,ISSU,2022-07-19 00:00:00,2023-10-24 00:00:00,2028-10-24 00:00:00,1404503[40-00021]_Issued_v6.pdf
Northeast,Luzerne,Hazleton City,JOHNS MANVILLE INC.,JOHNS MANVILLE,534260,JOHNS MANVILLE/HAZLETON CITY,495668,Y,New,Title V Operating Permit,,ISSU,2024-04-17 00:00:00,2024-09-25 00:00:00,2029-09-25 00:00:00,1481216[40-00079]_Issued_v3.pdf
Northeast,Luzerne,Salem Township,MOXIE FREEDOM LLC,CAITHNESS MOXIE FREEDOM GENERATION PLT,788424,CAITHNESS MOXIE FREEDOM GENERATION PLANT/SALEM TWP,781641,Y,Renewal,Title V Operating Permit,,ISSU,2024-06-28 00:00:00,2025-08-13 00:00:00,2030-08-13 00:00:00,1491482[40-00129]_Issued_v1.pdf
Northeast,Luzerne,West Hazleton Borough,GREATER HAZLETON CITY JT SEW AUTH LUZERNE CNTY,GREATER HAZLETON JT SEW AUTH TRMT PLT,242069,GREATER HAZLETON JT SEW AUTH/WEST HAZLETON STP,246109,Y,New,Title V Operating Permit,,ISSU,2022-10-03 00:00:00,2024-02-20 00:00:00,2029-02-20 00:00:00,1412351[40-00121]_Issued_v1.pdf
Northeast,Monroe,Smithfield Township,WESTROCK CONVERTING CO LLC,WESTROCK CONVERTING CO LLC,4034,WESTROCK CONVERTING CO LLC/DELAWARE WATER GAP,5455,Y,Renewal,Title V Operating Permit,,ISSU,2020-08-24 00:00:00,2021-12-14 00:00:00,2026-12-14 00:00:00,1362262[45-00002]_Issued_v1.pdf
Northeast,Northampton,Bethlehem City,CALPINE BETHLEHEM LLC,BETHLEHEM ENERGY CENTER,543767,CALPINE BETHLEHEM LLC/BETHLEHEM,566123,Y,Renewal,Title V Operating Permit,,ISSU,2020-02-28 00:00:00,2021-08-11 00:00:00,2026-08-10 00:00:00,1307005[48-00076]_Issued_v1.pdf
Northeast,Northampton,Forks Township,VICTAULIC CO,VICTAULIC CO FORKS FACILITY,248318,VICTAULIC CO/FORKS FACILITY,254610,Y,Renewal,Title V Operating Permit,,ISSU,2022-04-19 00:00:00,2023-02-22 00:00:00,2028-02-22 00:00:00,1393875[48-00009]_Issued_v1.pdf
Northeast,Northampton,Lower Mount Bethel Township,LMBE PROJECT COMPANY LLC,LMBE PROJECT COMPANY LLC,521990,LOWER MOUNT BETHEL ENERGY SES/BANGOR,569997,Y,Renewal,Title V Operating Permit,,ISSU,2020-11-16 00:00:00,2023-01-19 00:00:00,2028-01-19 00:00:00,1364221[48-00091]_Issued_v1.pdf
Northeast,Northampton,Lower Saucon Township,BETHLEHEM LDFL CO,BETHLEHEM LDFL CO,255983,BETHLEHEM LD/BETHLEHEM FACILITY,549728,Y,Renewal,Title V Operating Permit,,ISSU,2023-08-17 00:00:00,2025-02-05 00:00:00,2030-02-05 00:00:00,1452603[48-00027]_Issued_v1.pdf
Northeast,Northampton,Plainfield Township,GRAND CTL SANI LDFL INC,GRAND CTL SANI LDFL,256036,GRAND CTL SANI LDFL/PLAINFIELD,494741,Y,Renewal,Title V Operating Permit,,ISSU,2021-08-20 00:00:00,2023-01-03 00:00:00,2028-01-03 00:00:00,1368323[48-00032]_Issued_v1.pdf
Northeast,Northampton,Stockertown Borough,HERCULES CEMENT CO LLC DBA BUZZI UNICEM USA,HERCULES CEMENT DBA BUZZI UNICEM USA STOCKERTOWN PLT,508399,HERCULES CEMENT CO LLC/STOCKERTOWN,510100,Y,Renewal,Title V Operating Permit,,ISSU,2024-02-20 00:00:00,2025-04-18 00:00:00,2030-04-18 00:00:00,1473442[48-00005]_Issued_v2.pdf
