Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northcentral,Potter,Wharton Township,NATL FUEL GAS SUPPLY CORP,NATL FUEL GAS SUPPLY EAST FORK COMP STA,3847,NATL FUEL GAS SUPPLY/EAST FORK COMP STA,5195,Y,Amendment,Title V Operating Permit,,ISSU,2024-08-23 00:00:00,2024-10-03 00:00:00,2026-09-06 00:00:00,1497993[53-00008]_Issued_v1.pdf
Northcentral,Potter,Wharton Township,TRANSCONTINENTAL GAS PIPE LINE CO LLC,TRANSCONTINENTAL GAS PIPE LINE CO LLC (STA 535),240639,TRANSCONTINENTAL GAS/WHARTON STATION 535,244152,Y,Modification,Title V Operating Permit,,ISSU,2022-12-29 00:00:00,2023-10-03 00:00:00,2025-09-08 00:00:00,1422494[53-00002]_Issued_v1.pdf
Northcentral,Snyder,Middlecreek Township,WOOD MODE LLC,WOOD MODE LLC,2760,WOOD MODE LLC/KREAMER PLT,3730,Y,Renewal,Title V Operating Permit,,ISSU,2023-02-02 00:00:00,2023-09-11 00:00:00,2028-09-10 00:00:00,1425582[55-00005]_Issued_v1.pdf
Northcentral,Snyder,Penn Township,KERRICO CORP,SELINSGROVE PLT,4731,KERRICO CORP/PENN,6399,Y,Renewal,Title V Operating Permit,,ISSU,2022-02-15 00:00:00,2022-06-24 00:00:00,2027-06-23 00:00:00,1387445[55-00023]_Issued_v1.pdf
Northcentral,Snyder,Shamokin Dam Borough,HUMMEL STA LLC,HUMMEL STATION CONSTRUCTION SITE,786918,HUMMEL STA LLC/SUNBURY NAT GAS PLT,804103,Y,New,Title V Operating Permit,,ISSU,2022-07-05 00:00:00,2024-11-25 00:00:00,2029-11-24 00:00:00,1402841[55-00026]_Issued_v1.pdf
Northcentral,Tioga,Blossburg Borough,WARD MFG LLC,WARD MANUFACTURING LLC PLT 3,244770,WARD MFG LLC/BLOSSBURG PLTS 1-3,249699,Y,Renewal,Title V Operating Permit,,ISSU,2021-06-28 00:00:00,2022-01-13 00:00:00,2027-01-12 00:00:00,1359579[59-00004]_Issued_v1.pdf
Northcentral,Tioga,Clymer Township,EASTERN GAS TRANS & STORAGE INC,EGTS SABINSVILLE COMPRESSOR STATION,240972,EASTERN GAS TRANS & STORAGE INC/SABINSVILLE STA,244611,Y,Renewal,Title V Operating Permit,,ISSU,2022-09-22 00:00:00,2023-08-31 00:00:00,2028-08-30 00:00:00,1412555[59-00005]_Issued_v1.pdf
Northcentral,Tioga,Farmington Township,EASTERN GAS TRANS & STORAGE INC,EGTS TIOGA COMPRESSOR STA,240985,EASTERN GAS TRANS & STORAGE INC/TIOGA STA,244627,Y,Renewal,Title V Operating Permit,,ISSU,2024-05-06 00:00:00,2025-07-21 00:00:00,2030-07-20 00:00:00,1484113[59-00002]_Issued_v1.pdf
Northcentral,Tioga,Wellsboro Borough,LEDVANCE LLC,LEDVANCE LLC,257979,LEDVANCE LLC/WELLSBORO PLT,272387,N,Transfer,Title V Operating Permit,,ISSU,2016-07-30 00:00:00,2016-09-16 00:00:00,2021-02-28 00:00:00,1147520[59-00003]_Issued_v1.pdf
Northcentral,Tioga,Wellsboro Borough,UPMC WELLSBORO,UPMC WELLSBORO HOSP,238328,SOLDIERS & SAILORS MEM HOSP/WELLSBORO,495487,N,New,Title V Operating Permit,,ISSU,1997-01-27 00:00:00,1999-06-16 00:00:00,2004-06-15 00:00:00,355068[59-00011]_Issued_v1.pdf
